species_name	gbif_species_key	gbif_species_url	photo_1_mature_overall	photo_2_mature_overall	photo_3_flower_very_close_up	photo_4_flower_moderate_close_up	photo_5_unique_feature_photo_wildcard	photo_6_spring_feature	photo_7_summer_feature	photo_8_fall_feature	photo_9_winter_feature	total_number_of_SKUs	number_of_nursery_suppliers	nursery_to_SKU_count	original_name_summary	size_summary	quantity_summary	
Nyssa sylvatica	5383717	https://www.gbif.org/species/5383717	https://www.gbif.org/occurrence/5134538677	https://www.gbif.org/occurrence/4993745491	https://www.gbif.org/occurrence/4407181947	https://www.gbif.org/occurrence/4519018147	https://www.gbif.org/occurrence/3070746750	https://www.gbif.org/occurrence/5154581426	https://www.gbif.org/occurrence/4407181947	https://www.gbif.org/occurrence/3961022244	2nd photo  https://www.gbif.org/occurrence/4500864641	1	1	McKeithen Growers:1	"Nyssa sylvatica":1	"3g":1	"_":1	
Persea borbonia	3034048	https://www.gbif.org/species/3034048	https://www.gbif.org/occurrence/3903333236	https://www.gbif.org/occurrence/5063589349	https://www.gbif.org/occurrence/3712422963	https://www.gbif.org/occurrence/4923721093	3rd photo   https://www.gbif.org/occurrence/2611187565	https://www.gbif.org/occurrence/3465991658	2nd photo  https://www.gbif.org/occurrence/2802820959	https://www.gbif.org/occurrence/3335336374	https://www.gbif.org/occurrence/3456829986	1	1	McKeithen Growers:1	"Persea borbonia":1	"3g":1	"_":1	
Styrax americanus	5371669	https://www.gbif.org/species/5371669	https://inaturalist-open-data.s3.amazonaws.com/photos/363057100/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/363057128/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/368749703/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/360142581/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/451691592/original.jpeg	https://www.gbif.org/occurrence/4599860242	https://www.gbif.org/occurrence/2856555829	https://www.gbif.org/occurrence/4987666712	https://www.gbif.org/occurrence/3759721513	1	1	The Natives:1	"Styrax americanus":1	"g":1	"L":1	
Nyssa biflora	5383713	https://www.gbif.org/species/5383713	https://www.gbif.org/occurrence/5133982301	https://www.gbif.org/occurrence/4851881017	https://www.gbif.org/occurrence/4111592463	https://www.gbif.org/occurrence/4519094617	4th photo  https://www.gbif.org/occurrence/3760085659	https://www.gbif.org/occurrence/4519024583	https://www.gbif.org/occurrence/2252027535	https://www.gbif.org/occurrence/2465336208	https://www.gbif.org/occurrence/3994142239	1	1	The Natives:1	"Nyssa biflora":1	"7g":1	"L":1	
Diospyros virginiana	3032986	https://www.gbif.org/species/3032986	https://www.gbif.org/occurrence/5088117705	https://www.gbif.org/occurrence/5104379730	https://www.gbif.org/occurrence/5153353376	https://www.gbif.org/occurrence/5153397229	https://www.gbif.org/occurrence/5133587135	https://www.gbif.org/occurrence/4872558410	https://www.gbif.org/occurrence/4875293119	https://www.gbif.org/occurrence/4430779427	2nd photo  https://www.gbif.org/occurrence/2563588951	1	1	The Natives:1	"Diospyros virginiana":1	"3g":1	"L":1	
Peperomia humilis	3086370	https://www.gbif.org/species/3086370	https://www.gbif.org/occurrence/4908760174	https://www.gbif.org/occurrence/4935673836	https://www.gbif.org/occurrence/4528214740	https://www.gbif.org/occurrence/3912335489	https://www.gbif.org/occurrence/4015051472	https://www.gbif.org/occurrence/4091806861	https://www.gbif.org/occurrence/3327968288	https://www.gbif.org/occurrence/4442518278	2nd photo  https://www.gbif.org/occurrence/4022070606	1	1	The Natives:1	"Peperomia humilis":1	"g":1	"L":1	
Tiedemannia filiformis	7535786	https://www.gbif.org/species/7535786	https://inaturalist-open-data.s3.amazonaws.com/photos/467472980/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/349607516/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/458342686/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/464370934/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/300490389/original.jpeg	https://www.gbif.org/occurrence/2234792353	https://www.gbif.org/occurrence/3892368559	https://www.gbif.org/occurrence/2429335276	https://www.gbif.org/occurrence/4046238764	1	1	The Natives:1	"Tiedemannia filiformis":1	"g":1	"C":1	
Quercus inopina	2880834	https://www.gbif.org/species/2880834	https://www.gbif.org/occurrence/4867916556	https://www.gbif.org/occurrence/4507927495	https://www.gbif.org/occurrence/4171711473	https://www.gbif.org/occurrence/2429552426	https://www.gbif.org/occurrence/2641486531	https://www.gbif.org/occurrence/3772650581	https://www.gbif.org/occurrence/3337744731	https://www.gbif.org/occurrence/3912025859	https://www.gbif.org/occurrence/4022290666	1	1	The Natives:1	"Quercus inopina":1	"g":1	"C":1	
Symphyotrichum elliottii	3151747	https://www.gbif.org/species/3151747	https://inaturalist-open-data.s3.amazonaws.com/photos/449761849/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/450361555/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/449121662/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/454647436/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/449121727/original.jpeg	https://www.gbif.org/occurrence/5154327547	https://www.gbif.org/occurrence/3873697940	https://www.gbif.org/occurrence/4982141918	https://www.gbif.org/occurrence/5069753948	1	1	The Natives:1	"Symphyotrichum elliottii":1	"g":1	"C":1	
Conradina brevifolia	2927110	https://www.gbif.org/species/2927110	https://www.gbif.org/occurrence/4440928344	https://www.gbif.org/occurrence/2641538057	https://www.gbif.org/occurrence/4516512992	https://www.gbif.org/occurrence/5140993657	https://www.gbif.org/occurrence/5108174380	https://www.gbif.org/occurrence/4600067747	https://www.gbif.org/occurrence/2641538057	https://www.gbif.org/occurrence/4440928344	https://www.gbif.org/occurrence/3466197950	1	1	The Natives:1	"Conradina brevifolia":1	"g":1	"C":1	
Hydrolea corymbosa	2928287	https://www.gbif.org/species/2928287	https://inaturalist-open-data.s3.amazonaws.com/photos/397080051/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/389961729/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/381875705/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/394035905/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/426168227/original.jpeg	https://www.gbif.org/occurrence/5062488127	https://www.gbif.org/occurrence/4919352654	https://www.gbif.org/occurrence/2423135279	https://www.gbif.org/occurrence/1990623881	1	1	The Natives:1	"Hydrolea corymbosa":1	"g":1	"C":1	
Pinus clausa	5285768	https://www.gbif.org/species/5285768	https://www.gbif.org/occurrence/5007295790	https://www.gbif.org/occurrence/5062997784	https://www.gbif.org/occurrence/5007835095	https://www.gbif.org/occurrence/5063784133	https://www.gbif.org/occurrence/5140344377	https://www.gbif.org/occurrence/4852544316	https://www.gbif.org/occurrence/4937100299	https://www.gbif.org/occurrence/4911098996	https://www.gbif.org/occurrence/5006981036	1	1	The Natives:1	"Pinus clausa":1	"g":1	"C":1	
