species_name,speciesKey,gbif_url,webp_url
Photinia pyrifolia,5363667,https://www.gbif.org/species/5363667,https://ecodash.ai/images/nurseries/the-natives/Photinia_pyrifolia.webp
Pinus densa,5285782,https://www.gbif.org/species/5285782,https://ecodash.ai/images/nurseries/the-natives/Pinus_densa.webp
Pityopsis aequifolia,10866104,https://www.gbif.org/species/10866104,https://ecodash.ai/images/nurseries/the-natives/Pityopsis_aequifolia.webp
Pityopsis tracyi,4227395,https://www.gbif.org/species/4227395,https://ecodash.ai/images/nurseries/the-natives/Pityopsis_tracyi.webp
Quercus geminata,2878250,https://www.gbif.org/species/2878250,https://ecodash.ai/images/nurseries/the-natives/Quercus_geminata.webp
Quercus incana,2878060,https://www.gbif.org/species/2878060,https://ecodash.ai/images/nurseries/the-natives/Quercus_incana.webp
Quercus laevis,2878626,https://www.gbif.org/species/2878626,https://ecodash.ai/images/nurseries/the-natives/Quercus_laevis.webp
Quercus myrtifolia,2878545,https://www.gbif.org/species/2878545,https://ecodash.ai/images/nurseries/the-natives/Quercus_myrtifolia.webp
Rhus copallinum,3190557,https://www.gbif.org/species/3190557,https://ecodash.ai/images/nurseries/the-natives/Rhus_copallinum.webp
Rudbeckia hirta var floridiana,4255022,https://www.gbif.org/species/4255022,https://ecodash.ai/images/nurseries/the-natives/Rudbeckia_hirta_var_floridiana.webp
Sabal etonia,2732552,https://www.gbif.org/species/2732552,https://ecodash.ai/images/nurseries/the-natives/Sabal_etonia.webp
Salvia misella,2927058,https://www.gbif.org/species/2927058,https://ecodash.ai/images/nurseries/the-natives/Salvia_misella.webp
Senna ligustrina,2957907,https://www.gbif.org/species/2957907,https://ecodash.ai/images/nurseries/the-natives/Senna_ligustrina.webp
Serenoa repens,2735055,https://www.gbif.org/species/2735055,https://ecodash.ai/images/nurseries/the-natives/Serenoa_repens.webp
Silphium astericus,3092582,https://www.gbif.org/species/3092582,https://ecodash.ai/images/nurseries/the-natives/Silphium_astericus.webp
Solidago fistulosa,5389106,https://www.gbif.org/species/5389106,https://ecodash.ai/images/nurseries/the-natives/Solidago_fistulosa.webp
Solidago stricta,5388869,https://www.gbif.org/species/5388869,https://ecodash.ai/images/nurseries/the-natives/Solidago_stricta.webp
Sorghastrum secundum,2704421,https://www.gbif.org/species/2704421,https://ecodash.ai/images/nurseries/the-natives/Sorghastrum_secundum.webp
Sideroxylon tenax,2887241,https://www.gbif.org/species/2887241,https://ecodash.ai/images/nurseries/the-natives/Sideroxylon_tenax.webp
Stokesia laevis,5403935,https://www.gbif.org/species/5403935,https://ecodash.ai/images/nurseries/the-natives/Stokesia_laevis.webp
Styrax americanus,5371669,https://www.gbif.org/species/5371669,https://ecodash.ai/images/nurseries/the-natives/Styrax_americanus.webp
Symphyotrichum elliottii,3151747,https://www.gbif.org/species/3151747,https://ecodash.ai/images/nurseries/the-natives/Symphyotrichum_elliottii.webp
Symphyotrichum carolinianum,3104917,https://www.gbif.org/species/3104917,https://ecodash.ai/images/nurseries/the-natives/Symphyotrichum_carolinianum.webp
Tiedemannia filiformis,7535786,https://www.gbif.org/species/7535786,https://ecodash.ai/images/nurseries/the-natives/Tiedemannia_filiformis.webp
Tripsacum dactyloides,2705536,https://www.gbif.org/species/2705536,https://ecodash.ai/images/nurseries/the-natives/Tripsacum_dactyloides.webp
Trilisa subtropicanus,9693214,https://www.gbif.org/species/9693214,https://ecodash.ai/images/nurseries/the-natives/Trilisa_subtropicanus.webp
Vaccinium darrowii,2882908,https://www.gbif.org/species/2882908,https://ecodash.ai/images/nurseries/the-natives/Vaccinium_darrowii.webp
Viburnum obovatum,2888620,https://www.gbif.org/species/2888620,https://ecodash.ai/images/nurseries/the-natives/Viburnum_obovatum.webp
Yucca filamentosa,2775561,https://www.gbif.org/species/2775561,https://ecodash.ai/images/nurseries/the-natives/Yucca_filamentosa.webp
Zamia pumila,5284117,https://www.gbif.org/species/5284117 ,https://ecodash.ai/images/nurseries/the-natives/Zamia_pumila.webp
