nursery_id,item_code,common_name,scientific_name,description,container_size,container_type,quantity_available,wholesale_price,retail_price,location_code,category,plant_type,flower_color,published_height,published_spread,picture_1_url,sun_requirements,water_requirements,hardiness_zone,native_status,availability_date,notes
CHERRYLAKE,BETNIDHMC015,Riverbirch Dura-Heat® MT,Betula nigra 'Duraheat',"10' X 3' X 0"" / Consistent height",15,Gallon,125,78.0,,FA,Riverbirch,Tree,,10',3',https://cherrylake.com/images/web_photos/betnidhmc015_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,BETNIDHMC030,Riverbirch Dura-Heat® MT,Betula nigra 'Duraheat',"8' X 4' X 0"" /",30,Gallon,131,105.0,,FA,Riverbirch,Tree,,8',4',https://cherrylake.com/images/web_photos/betnidhmc030_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,BETNIDHMC030,Riverbirch Dura-Heat® MT,Betula nigra 'Duraheat',"0' X 0' X 0"" / 2 canes, thin",30,Gallon,75,81.67,,CSPDRD,Riverbirch,Tree,,0',0',https://cherrylake.com/images/web_photos/betnidhmc030_d_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,BETNIDHMC045,Riverbirch Dura-Heat® MT,Betula nigra 'Duraheat',"12' X 6' X 0"" /",45,Gallon,34,250.0,,FA,Riverbirch,Tree,,12',6',https://cherrylake.com/images/web_photos/betnidhmc045_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,BOUGLPUSC015,Bougainvilllea 'Purple' STD,,"5' X 2.5' X 0"" / *NON-CORE* /",15,Gallon,9,66.0,,FD,Tree,Tree,,5',2.5',https://cherrylake.com/images/web_photos/bouglpusc015_d_1.jpg,Variable,Medium,,Unknown,,Availability: Limited Qty
CHERRYLAKE,BUCBUBOTC030,Shady Lady CT,,"10' X 3.5' X 1.75"" / Inconsistent branching.",30,Gallon,19,175.0,,FA,"Olive, Black",Tree,,10',3.5',https://cherrylake.com/images/web_photos/bucbubotc030_a_1.jpg,Variable,Medium,,Unknown,,Availability: Limited Qty
CHERRYLAKE,BULFRHAFX001,Bulbine 'Hallmark Orange',,"10"" X 6"" X 0"" /",1,Gallon,0,4.38,,FA,Shrub,Shrub,,"10""","6""",https://cherrylake.com/images/web_photos/bulfrhafx001_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,BUXMI00FX003,Japanese Boxwood,Buxus microphyllia japonica,"14"" X 12"" X 0"" /",3,Gallon,0,5.75,,FA,Shrub,Shrub,,"14""","12""",https://cherrylake.com/images/web_photos/buxmi00fx003_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,BUXMI00FX003,Japanese Boxwood,Buxus microphyllia japonica,"12"" X 9"" X 0"" /",3,Gallon,0,4.5,,FP,Shrub,Shrub,,"12""","9""",https://cherrylake.com/images/web_photos/buxmi00fx003_p_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CALAMBBFX003,American Beautyberry,Callicarpa americana,"16"" X 16"" X 0"" /",3,Gallon,430,6.5,,FA,Shrub,Shrub,,"16""","16""",https://cherrylake.com/images/web_photos/calambbfx003_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,CALRC00FC015,Red Cluster FTG,Callistemon 'Red Cluster' FTG,"5.5' X 3' X 0"" / Consistent height",15,Gallon,123,55.0,,FA,Bottlebrush,Tree,,5.5',3',https://cherrylake.com/images/web_photos/calrc00fc015_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CALRC00FC030,Red Cluster FTG,Callistemon 'Red Cluster' FTG,"6' X 4' X 0"" / Consistent height",30,Gallon,118,100.0,,FA,Bottlebrush,Tree,,6',4',https://cherrylake.com/images/web_photos/calrc00fc030_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CALRC00TC015,Red Cluster STD,Callistemon 'Red Cluster' STD,"8' X 2.5' X 1.25"" / Consistent height",15,Gallon,99,60.0,,FA,Bottlebrush,Tree,,8',2.5',https://cherrylake.com/images/web_photos/calrc00tc015_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CALRC00TC030,Red Cluster STD,Callistemon 'Red Cluster' STD,"8' X 3' X 1.5"" / Consistent height",30,Gallon,69,155.0,,FA,Bottlebrush,Tree,,8',3',https://cherrylake.com/images/web_photos/calrc00tc030_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CALRC00TC045,Red Cluster STD,,"11' X 5' X 2"" / Full canopy",45,Gallon,21,300.0,,FA,Bottlebrush,Tree,,11',5',https://cherrylake.com/images/web_photos/calrc00tc045_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CAMJAPSFX003,Camellia Japonica Professor Sargent,,"24"" X 13"" X 0"" /",3,Gallon,14,14.0,,FA,Camellia,Shrub,,"24""","13""",https://cherrylake.com/images/web_photos/camjapsfx003_a_1.jpg,Variable,Medium,,Unknown,,Availability: Limited Qty
CHERRYLAKE,COCUV00MC030,Sea Grape MT,,"9' X 5' X 0"" / Consistent high",30,Gallon,9,126.0,,FA,Tree,Tree,,9',5',https://cherrylake.com/images/web_photos/cocuv00mc030_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,CODVAMAFX003,Croton 'Mammey',Codiaeum variegatum 'Mammy' FTG,"14"" X 14"" X 0"" /",3,Gallon,164,6.1,,FA,Shrub,Shrub,,"14""","14""",https://cherrylake.com/images/web_photos/codvamafx003_a_1.jpg,Variable,Medium,,Non-native,,Origin: Southeast Asia
CHERRYLAKE,CODVAPEFX003,Croton 'Petra',Codiaeum variegatum 'Petra' FTG,"15"" X 14"" X 0"" / *NON-CORE* /",3,Gallon,212,6.56,,FA,Shrub,Shrub,,"15""","14""",https://cherrylake.com/images/web_photos/codvapefx003_a_1.jpg,Variable,Medium,,Non-native,,Origin: Southeast Asia
CHERRYLAKE,CONERGBTC030,Green Buttonwood CT,,"12' X 4' X 2.5"" / Straight trunks, full heads, small trunks scars",30,Gallon,33,170.0,,FA,Conocarpus,Tree,,12',4',https://cherrylake.com/images/web_photos/conergbtc030_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,CONERSBFX007,Silver Buttonwood,,"34"" X 22"" X 0"" /",1,Gallon,42,0.0,,FA,Shrub,Shrub,,"34""","22""",https://cherrylake.com/images/web_photos/conersbfx007_a_1.jpg,Variable,Medium,,Unknown,,Availability: Limited Qty
CHERRYLAKE,CONERSBFC030,Silver Buttonwood FTG,,"6' X 4' X 0"" / Consistent high",1,Gallon,6,155.0,,FA,Tree,Tree,,6',4',https://cherrylake.com/images/web_photos/conersbfc030_a_1.jpg,Variable,Medium,,Unknown,,Availability: Limited Qty
CHERRYLAKE,CONERSBTC030,Silver Buttonwood CT,,"9' X 5' X 1.25"" / Consistent height, small voids on the top",30,Gallon,53,177.0,,FA,Conocarpus,Tree,,9',5',https://cherrylake.com/images/web_photos/conersbtc030_a_1.jpg,Variable,Medium,,Native,,
CHERRYLAKE,COONUGM1BB12,Palm Coconut, Cocos nucifera,"10' X 0' X 0"" / Units per truck 20 
Min order qty 10","12""",Ball & Burlap,0,706.0,,CSP,Palm,Tree,,12' CT,8' WD,https://cherrylake.com/images/web_photos/coonugm1bb12_p_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,COONUGM1BB20,BB20, Cocos nucifera,"14' X 0' X 0"" / Units per truck 20 
Min order qty 10",1,Gallon,0,882.0,,CSP,Palm,Tree,,14' CT,10' WD,https://cherrylake.com/images/web_photos/coonugm1bb20_p_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CORSE00FX003,Pampas Grass FTG,,"30"" X 24"" X 0"" /",1,Gallon,43,9.38,,FA,Shrub,Shrub,,"30""","24""",https://cherrylake.com/images/web_photos/corse00fx003_a_1.jpg,Variable,Medium,,Unknown,,Availability: Limited Qty
CHERRYLAKE,CUPGLCSFC015,Arizona Cypress  'Carolina Sapphire',Cupressus glabra 'Carolina Sapphire' FTG,"8' X 3' X 0"" / Full canopy,",15,Gallon,55,68.75,,FA,Tree,Tree,,8',3',https://cherrylake.com/images/web_photos/cupglcsfc015_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CUPGLCSFC030,Arizona Cypress  'Carolina Sapphire',Cupressus Glabra,"6' X 4' X 0"" / Consistent branching",30,Gallon,115,120.0,,FA,Tree,Tree,,6',4',https://cherrylake.com/images/web_photos/cupglcsfc030_a_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CUPGLCSFC030,Arizona Cypress  'Carolina Sapphire',Cupressus Glabra,"7.5' X 4' X 0"" / Units per truck 200 Min order qty 50",30,Gallon,0,112.0,,CSP,Tree,Tree,,7.5',4',https://cherrylake.com/images/web_photos/cupglcsfc030_p_1.jpg,Variable,Medium,,Unknown,,
CHERRYLAKE,CUPLE00FC015,Leyland Cypress,X Cupressocyparis leylandii FTG,"6.5' X 2.5' X 0"" / Full all around, good structure.",15,Gallon,787,60.0,,FA,Tree,Tree,,6.5',2.5',https://cherrylake.com/images/web_photos/cuple00fc015_a_1.jpg,Variable,Medium,,Unknown,,
